s_regionName	s_monsterList	n_maxExistNum	n_refreshTime	n_birthY	n_fixedPos	s_resetToBorn
g2069_monster_region300021	3002	1	10		1	85#30
g2069_monster_region300022	3002	1	10		1	85#30
g2069_monster_region300023	3002	1	10		1	85#30
g2069_monster_region300024	3002	1	10		1	85#30
g2069_monster_region300025	3003	1	120		1	85#30
g2069_monster_region300026	3001	1	10		1	85#30
g2069_monster_region300027	3001	1	10		1	85#30
g2069_monster_region300028	3001	1	10		1	85#30
g2069_monster_region300029	3001	1	10		1	85#30
g2069_monster_region300030	3001	1	10		1	85#30
g2069_monster_region300031	3001	1	10		1	85#30
g2069_monster_region300032	3002	1	10		1	85#30
g2069_monster_region300033	3002	1	10		1	85#30
g2069_monster_region300034	3002	1	10		1	85#30
g2069_monster_region300035	3002	1	10		1	85#30
g2069_monster_region400001	4001	1	20		1	85#30
g2069_monster_region400002	4001	1	20		1	85#30
g2069_monster_region400003	4001	1	20		1	85#30
g2069_monster_region400004	4001	1	20		1	85#30
g2069_monster_region400005	4001	1	20		1	85#30
g2069_monster_region400006	4001	1	20		1	85#30
g2069_monster_region400007	4001	1	20		1	85#30
g2069_monster_region400008	4001	1	20		1	85#30
g2069_monster_region400009	4001	1	20		1	85#30
g2069_monster_region400010	4001	1	20		1	85#30
g2069_monster_region400011	4001	1	20		1	85#30
g2069_monster_region400012	4001	1	20		1	85#30
g2069_monster_region400013	4002	1	20		1	85#30
g2069_monster_region400014	4002	1	20		1	85#30
g2069_monster_region400015	4002	1	20		1	85#30
g2069_monster_region400016	4002	1	20		1	85#30
g2069_monster_region400017	4002	1	20		1	85#30
g2069_monster_region400018	4002	1	20		1	85#30
g2069_monster_region400019	4002	1	20		1	85#30
g2069_monster_region400020	4002	1	20		1	85#30
g2069_monster_region400021	4002	1	20		1	85#30
g2069_monster_region400022	4002	1	20		1	85#30
g2069_monster_region400023	4002	1	20		1	85#30
g2069_monster_region400024	4002	1	20		1	85#30
g2069_monster_region400025	4003	1	120		1	85#30
g2069_monster_region500001	5001	1	20		1	85#30
g2069_monster_region500002	5001	1	20		1	85#30
g2069_monster_region500003	5001	1	20		1	85#30
g2069_monster_region500004	5001	1	20		1	85#30
g2069_monster_region500005	5001	1	20		1	85#30
g2069_monster_region500006	5001	1	20		1	85#30
g2069_monster_region500007	5001	1	20		1	85#30
g2069_monster_region500008	5001	1	20		1	85#30
g2069_monster_region500009	5001	1	20		1	85#30
g2069_monster_region500010	5001	1	20		1	85#30
g2069_monster_region500011	5001	1	20		1	85#30
g2069_monster_region500012	5001	1	20		1	85#30
g2069_monster_region500013	5002	1	20		1	85#30
g2069_monster_region500014	5002	1	20		1	85#30
g2069_monster_region500015	5002	1	20		1	85#30
g2069_monster_region500016	5002	1	20		1	85#30
g2069_monster_region500017	5002	1	20		1	85#30
g2069_monster_region500018	5002	1	20		1	85#30
g2069_monster_region500019	5002	1	20		1	85#30
g2069_monster_region500020	5002	1	20		1	85#30
g2069_monster_region500021	5002	1	20		1	85#30
g2069_monster_region500022	5002	1	20		1	85#30
g2069_monster_region500023	5002	1	20		1	85#30
g2069_monster_region500024	5002	1	20		1	85#30
g2069_monster_region500025	5003	1	120		1	85#30
g2069_monster_region600001	6001	1	20		1	45#30
g2069_monster_region600002	6001	1	20		1	45#30
g2069_monster_region600003	6001	1	20		1	45#30
g2069_monster_region600004	6001	1	20		1	45#30
g2069_monster_region600005	6001	1	20		1	45#30
g2069_monster_region600006	6001	1	20		1	45#30
g2069_monster_region600007	6001	1	20		1	45#30
g2069_monster_region600008	6001	1	20		1	45#30
g2069_monster_region600009	6002	1	20		1	45#30
g2069_monster_region600010	6002	1	20		1	45#30
g2069_monster_region600011	6002	1	20		1	45#30
g2069_monster_region600012	6002	1	20		1	45#30
g2069_monster_region600013	6002	1	20		1	45#30
g2069_monster_region600014	6002	1	20		1	45#30
g2069_monster_region600015	6002	1	20		1	45#30
g2069_monster_region600016	6002	1	20		1	45#30
g2069_monster_region600017	6003	1	120		1	45#30
g2069_monster_region700001	7001	1	20		1	45#30
g2069_monster_region700002	7001	1	20		1	45#30
g2069_monster_region700003	7001	1	20		1	45#30
g2069_monster_region700004	7001	1	20		1	45#30
g2069_monster_region700005	7001	1	20		1	45#30
g2069_monster_region700006	7001	1	20		1	45#30
g2069_monster_region700007	7001	1	20		1	45#30
g2069_monster_region700008	7001	1	20		1	45#30
g2069_monster_region700009	7002	1	20		1	45#30
g2069_monster_region700010	7002	1	20		1	45#30
g2069_monster_region700011	7002	1	20		1	45#30
g2069_monster_region700012	7002	1	20		1	45#30
g2069_monster_region700013	7002	1	20		1	45#30
g2069_monster_region700014	7002	1	20		1	45#30
g2069_monster_region700015	7002	1	20		1	45#30
g2069_monster_region700016	7002	1	20		1	45#30
g2069_monster_region700017	7003	1	120		1	45#30
g2069_monster_region800001	8001	1	20		1	45#30
g2069_monster_region800002	8001	1	20		1	45#30
g2069_monster_region800003	8001	1	20		1	45#30
g2069_monster_region800004	8001	1	20		1	45#30
g2069_monster_region800005	8001	1	20		1	45#30
g2069_monster_region800006	8001	1	20		1	45#30
g2069_monster_region800007	8001	1	20		1	45#30
g2069_monster_region800008	8001	1	20		1	45#30
g2069_monster_region800009	8001	1	20		1	45#30
g2069_monster_region800010	8001	1	20		1	45#30
g2069_monster_region800011	8001	1	20		1	45#30
g2069_monster_region800012	8001	1	20		1	45#30
g2069_monster_region800013	8002	1	20		1	45#30
g2069_monster_region800014	8002	1	20		1	45#30
g2069_monster_region800015	8002	1	20		1	45#30
g2069_monster_region800016	8002	1	20		1	45#30
g2069_monster_region800017	8002	1	20		1	45#30
g2069_monster_region800018	8002	1	20		1	45#30
g2069_monster_region800019	8002	1	20		1	45#30
g2069_monster_region800020	8002	1	20		1	45#30
g2069_monster_region800021	8003	1	120		1	45#30
g2069_monster_region900001	9001	3	20			85#30
g2069_monster_region900002	9001	3	20			85#30
g2069_monster_region900003	9001	3	20			85#30
g2069_monster_region900004	9001	3	20			85#30
g2069_monster_region900005	9001	3	20			85#30
g2069_monster_region900006	9002	3	20			85#30
g2069_monster_region900007	9002	3	20			85#30
g2069_monster_region900009	9002	2	20			85#30
g2069_monster_region900010	9002	2	20			85#30
g2069_monster_region900011	9002	2	20			85#30
g2069_monster_region900012	9002	2	20			85#30
g2069_monster_region900013	9003	1	120			100#30
