n_taskId	s_taskName	n_taskType	n_preTask	s_taskCondition	n_autoIssue	n_branchLogin	n_limitCounts	n_canGiveUp	s_taskCompleteCondition	s_taskRewards	s_rewardCount	s_guideMap	s_guidePos	n_autoGuide	CCC	BBB	AAA
61003	g2069_task_name_61003	2		LEVEL#130#99999999	0		0	1	KILL#6003#1	role_exp#gold_coin	571335#9600	map_icebergvillage	-61.415#13.872#65.975	0			
7001	g2069_task_name_7001	1	6003		1				KILL#7001#6	role_exp#gold_coin	280000#6000	map_volcanovillage	-1.731#-38.287#-79.841	0			
7002	g2069_task_name_6002	1	7001		1				TASK#7001$NPC#npc_nikeluobin#700102	role_exp#gold_coin	100000#4800	map_volcanovillage	-76.138#-21.101#-102.955	1			
7003	g2069_task_name_7002	1	7002	LEVEL#190#99999999	1				TASK#7002$NPC#npc_kenisi#800101	role_exp#gold_coin	60000#8000	map_skyisland_angel	-11.058#7.399#97.208	1			
71001	g2069_task_name_71001	2		LEVEL#145#99999999	0		0	1	KILL#7001#12	role_exp#gold_coin	559312#10200	map_volcanovillage	-1.731#-38.287#-79.841	0			
71002	g2069_task_name_71002	2		LEVEL#160#99999999	0		0	1	KILL#7002#12	role_exp#gold_coin	672243#10900	map_volcanovillage	131.537#-30.493#19.607	0			
71003	g2069_task_name_71003	2		LEVEL#175#99999999	0		0	1	KILL#7003#1	role_exp#gold_coin	994828#11600	map_volcanovillage	99.523#-34.861#97.741	0			
8001	g2069_task_name_8001	1	7003		1				KILL#8001#6	role_exp#gold_coin	430000#7000	map_skyisland_angel	-30.345#8.557#45.958	0			
8002	g2069_task_name_7002	1	8001		1				TASK#8001$NPC#npc_kenisi#800102	role_exp#gold_coin	200000#5200	map_skyisland_angel	-11.058#7.399#97.208	1			
8003	g2069_task_name_8002	1	8002	LEVEL#235#99999999	1				TASK#8002$NPC#npc_ganfuer#900101	role_exp#gold_coin	120000#8000	map_skyisland_remain	119.467#-137.536#149.476	1			
81001	g2069_task_name_81001	2		LEVEL#190#99999999	0		0	1	KILL#8001#12	role_exp#gold_coin	930168#14700	map_skyisland_angel	-30.345#8.557#45.958	0			
81002	g2069_task_name_81002	2		LEVEL#205#99999999	0		0	1	KILL#8002#12	role_exp#gold_coin	1075162#16100	map_skyisland_angel	38.534#23.706#-33.369	0			
81003	g2069_task_name_81003	2		LEVEL#220#99999999	0		0	1	KILL#8003#1	role_exp#gold_coin	1641125#17800	map_skyisland_angel	-90.962#-52.616#-124.024	0			
9001	g2069_task_name_9001	1	8003		1				KILL#9001#6	role_exp#gold_coin	700000#8500	map_skyisland_remain	36.036#-137.536#175.864	0			
9002	g2069_task_name_8002	1	9001		1				TASK#9001$NPC#npc_ganfuer#900102	role_exp#gold_coin	300000#6000	map_skyisland_remain	119.467#-137.536#149.476	0			
91001	g2069_task_name_91001	2		LEVEL#235#99999999	0		0	1	KILL#9001#12	role_exp#gold_coin	1397212#19200	map_skyisland_remain	36.036#-137.536#175.864	0			
91002	g2069_task_name_91002	2		LEVEL#250#99999999	0		0	1	KILL#9002#12	role_exp#gold_coin	1574268#20800	map_skyisland_remain	-125.978#-119.472#62.312	0			
91003	g2069_task_name_91003	2		LEVEL#265#99999999	0		0	1	KILL#9003#1	role_exp#gold_coin	2349350#29900	map_skyisland_remain	-194.864#-134.244#-109.614	0			
